Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
45,"Hannah Bleher, Matthias Braun","Diffused responsibility: attributions of responsibility in the use of AI-driven clinical decision support systems",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00135-x","",409,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00135-x","2730-5953","",2,4,747,761,45,15.00,23,2,3,"Abstract: Good decision-making is a complex endeavor, and particularly so in a health context. The possibilities for day-to-day clinical practice opened up by AI-driven clinical decision support systems (AI-CDSS) give rise to fundamental questions around responsibility. In causal, moral and legal terms the application of AI-CDSS is challenging existing attributions of responsibility. In this context, responsibility gaps are often identified as main problem. Mapping out the changing dynamics and levels of attributing responsibility, we argue in this article that the application of AI-CDSS causes diffusions of responsibility with respect to a causal, moral, and legal dimension. Responsibility diffusion describes the situation where multiple options and several agents can be considered for attributing responsibility. Using the example of an AI-driven ‘digital tumor board’, we illustrate how clinical decision-making is changed and diffusions of responsibility take place. Not denying or attempting to bridge responsibility gaps, we argue that dynamics and ambivalences are inherent in responsibility, which is based on normative considerations such as avoiding experiences of disregard and vulnerability of human life, which are inherently accompanied by a moment of uncertainty, and is characterized by revision openness. Against this background and to avoid responsibility gaps, the article concludes with suggestions for managing responsibility diffusions in clinical decision-making with AI-CDSS.","https://link.springer.com/content/pdf/10.1007/s43681-022-00135-x.pdf",""
43,"Hazem Zohny, John McMillan, Mike King","Ethics of generative AI",2023,"Journal of Medical Ethics","BMJ","https://doi.org/10.1136/jme-2023-108909","",720,"2025-02-04 16:55:17","journal-article","10.1136/jme-2023-108909","0306-6800","",49,2,79,80,43,21.50,14,3,2,"","https://syndication.highwire.org/content/doi/10.1136/jme-2023-108909",""
42,"Zsófia Tóth, Robert Caruana, Thorsten Gruber, Claudia Loebbecke","The Dawn of the AI Robots: Towards a New Framework of AI Robot Accountability",2022,"Journal of Business Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s10551-022-05050-z","",863,"2025-02-04 16:55:17","journal-article","10.1007/s10551-022-05050-z","0167-4544","",178,4,895,916,42,14.00,11,4,3,"Abstract: Business, management, and business ethics literature pay little attention to the topic of AI robots. The broad spectrum of potential ethical issues pertains to using driverless cars, AI robots in care homes, and in the military, such as Lethal Autonomous Weapon Systems. However, there is a scarcity of in-depth theoretical, methodological, or empirical studies that address these ethical issues, for instance, the impact of morality and where accountability resides in AI robots’ use. To address this dearth, this study offers a conceptual framework that interpretively develops the ethical implications of AI robot applications, drawing on descriptive and normative ethical theory. The new framework elaborates on how the locus of morality (human to AI agency) and moral intensity combine within context-specific AI robot applications, and how this might influence accountability thinking. Our theorization indicates that in situations of escalating AI agency and situational moral intensity, accountability is widely dispersed between actors and institutions. ‘Accountability clusters’ are outlined to illustrate interrelationships between the locus of morality, moral intensity, and accountability and how these invoke different categorical responses: (i) illegal, (ii) immoral, (iii) permissible, and (iv) supererogatory pertaining to using AI robots. These enable discussion of the ethical implications of using AI robots, and associated accountability challenges for a constellation of actors—from designer, individual/organizational users to the normative and regulative approaches of industrial/governmental bodies and intergovernmental regimes.","https://link.springer.com/content/pdf/10.1007/s10551-022-05050-z.pdf",""
40,"Blair Attard-Frost, Andrés De los Ríos, Deneille R. Walters","The ethics of AI business practices: a review of 47 AI ethics guidelines",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00156-6","",70,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00156-6","2730-5953","",3,2,389,406,40,13.33,13,3,3,"","https://link.springer.com/content/pdf/10.1007/s43681-022-00156-6.pdf",""
38,"Erich Prem","From ethical AI frameworks to tools: a review of approaches",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00258-9","",228,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00258-9","2730-5953","",3,3,699,716,38,19.00,38,1,2,"Abstract: In reaction to concerns about a broad range of potential ethical issues, dozens of proposals for addressing ethical aspects of artificial intelligence (AI) have been published. However, many of them are too abstract for being easily translated into concrete designs for AI systems. The various proposed ethical frameworks can be considered an instance of principlism that is similar to that found in medical ethics. Given their general nature, principles do not say how they should be applied in a particular context. Hence, a broad range of approaches, methods, and tools have been proposed for addressing ethical concerns of AI systems. This paper presents a systematic analysis of more than 100 frameworks, process models, and proposed remedies and tools for helping to make the necessary shift from principles to implementation, expanding on the work of Morley and colleagues. This analysis confirms a strong focus of proposed approaches on only a few ethical issues such as explicability, fairness, privacy, and accountability. These issues are often addressed with proposals for software and algorithms. Other, more general ethical issues are mainly addressed with conceptual frameworks, guidelines, or process models. This paper develops a structured list and definitions of approaches, presents a refined segmentation of the AI development process, and suggests areas that will require more attention from researchers and developers.","https://link.springer.com/content/pdf/10.1007/s43681-023-00258-9.pdf",""
38,"Tim Hulsen","Explainable Artificial Intelligence (XAI): Concepts and Challenges in Healthcare",2023,"AI","MDPI AG","https://doi.org/10.3390/ai4030034","",821,"2025-02-04 16:55:17","journal-article","10.3390/ai4030034","2673-2688","",4,3,652,666,38,19.00,38,1,2,"Artificial Intelligence (AI) describes computer systems able to perform tasks that normally require human intelligence, such as visual perception, speech recognition, decision-making, and language translation. Examples of AI techniques are machine learning, neural networks, and deep learning. AI can be applied in many different areas, such as econometrics, biometry, e-commerce, and the automotive industry. In recent years, AI has found its way into healthcare as well, helping doctors make better decisions (“clinical decision support”), localizing tumors in magnetic resonance images, reading and analyzing reports written by radiologists and pathologists, and much more. However, AI has one big risk: it can be perceived as a “black box”, limiting trust in its reliability, which is a very big issue in an area in which a decision can mean life or death. As a result, the term Explainable Artificial Intelligence (XAI) has been gaining momentum. XAI tries to ensure that AI algorithms (and the resulting decisions) can be understood by humans. In this narrative review, we will have a look at some central concepts in XAI, describe several challenges around XAI in healthcare, and discuss whether it can really help healthcare to advance, for example, by increasing understanding and trust. Finally, alternatives to increase trust in AI are discussed, as well as future research possibilities in the area of XAI.","https://www.mdpi.com/2673-2688/4/3/34/pdf",""
36,"Aurelien Teguede Keleko, Bernard Kamsu-Foguem, Raymond Houe Ngouna, Amèvi Tongne","Artificial intelligence and real-time predictive maintenance in industry 4.0: a bibliometric analysis",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-021-00132-6","",862,"2025-02-04 16:55:17","journal-article","10.1007/s43681-021-00132-6","2730-5953","",2,4,553,577,36,12.00,9,4,3,"","https://link.springer.com/content/pdf/10.1007/s43681-021-00132-6.pdf",""
36,"Matti Minkkinen, Anniina Niukkanen, Matti Mäntymäki","What about investors? ESG analyses as tools for ethics-based AI auditing",2022,"AI &amp; SOCIETY","Springer Science and Business Media LLC","https://doi.org/10.1007/s00146-022-01415-0","",977,"2025-02-04 16:55:17","journal-article","10.1007/s00146-022-01415-0","0951-5666","",39,1,329,343,36,12.00,12,3,3,"Abstract: Artificial intelligence (AI) governance and auditing promise to bridge the gap between AI ethics principles and the responsible use of AI systems, but they require assessment mechanisms and metrics. Effective AI governance is not only about legal compliance; organizations can strive to go beyond legal requirements by proactively considering the risks inherent in their AI systems. In the past decade, investors have become increasingly active in advancing corporate social responsibility and sustainability practices. Including nonfinancial information related to environmental, social, and governance (ESG) issues in investment analyses has become mainstream practice among investors. However, the AI auditing literature is mostly silent on the role of investors. The current study addresses two research questions: (1) how companies’ responsible use of AI is included in ESG investment analyses and (2) what connections can be found between principles of responsible AI and ESG ranking criteria. We conducted a series of expert interviews and analyzed the data using thematic analysis. Awareness of AI issues, measuring AI impacts, and governing AI processes emerged as the three main themes in the analysis. The findings indicate that AI is still a relatively unknown topic for investors, and taking the responsible use of AI into account in ESG analyses is not an established practice. However, AI is recognized as a potentially material issue for various industries and companies, indicating that its incorporation into ESG evaluations may be justified. There is a need for standardized metrics for AI responsibility, while critical bottlenecks and asymmetrical knowledge relations must be tackled.","https://link.springer.com/content/pdf/10.1007/s00146-022-01415-0.pdf",""
33,"Pravik Solanki, John Grundy, Waqar Hussain","Operationalising ethics in artificial intelligence for healthcare: a framework for AI developers",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00195-z","",161,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00195-z","2730-5953","",3,1,223,240,33,11.00,11,3,3,"Abstract: Artificial intelligence (AI) offers much promise for improving healthcare. However, it runs the looming risk of causing individual and societal harms; for instance, exacerbating inequalities amongst minority groups, or enabling compromises in the confidentiality of patients’ sensitive data. As such, there is an expanding, unmet need for ensuring AI for healthcare is developed in concordance with human values and ethics. Augmenting “principle-based” guidance that highlight adherence to ethical ideals (without necessarily offering translation into actionable practices), we offer a solution-based framework for operationalising ethics in AI for healthcare. Our framework is built from a scoping review of existing solutions of ethical AI guidelines, frameworks and technical solutions to address human values such as self-direction in healthcare. Our view spans the entire length of the AI lifecycle: data management, model development, deployment and monitoring. Our focus in this paper is to collate actionable solutions (whether technical or non-technical in nature), which can be steps that enable and empower developers in their daily practice to ensuring ethical practices in the broader picture. Our framework is intended to be adopted by AI developers, with recommendations that are accessible and driven by the existing literature. We endorse the recognised need for ‘ethical AI checklists’ co-designed with health AI practitioners, which could further operationalise the technical solutions we have collated. Since the risks to health and wellbeing are so large, we believe a proactive approach is necessary for ensuring human values and ethics are appropriately respected in AI for healthcare.","https://link.springer.com/content/pdf/10.1007/s43681-022-00195-z.pdf",""
32,"Cathy Roche, P. J. Wall, Dave Lewis","Ethics and diversity in artificial intelligence policies, strategies and initiatives",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00218-9","",373,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00218-9","2730-5953","",3,4,1095,1115,32,10.67,11,3,3,"Abstract: A burgeoning of Artificial Intelligence (AI) technologies in recent years has led to increased discussion about its potential to address many issues considered otherwise intractable, including those highlighted by the United Nations 2030 Agenda for Sustainable Development and associated Sustainable Development Goals. In tandem with this growth in AI is an expanding body of documentation regarding how such advanced technologies should be governed and managed. Issued by a variety of sources and comprising frameworks, policies and guidelines, this body of work encompasses the legal, social, ethical and policy issues around AI. With at least 470 such documents identified, as of May 2021, in the Council of Europe’s tracker of AI initiatives, questions are emerging around the diversity of views expressed, especially regarding the influence of the Global North or Euro-American perspectives. Our previous analysis of a corpus of largely grey literature discovered blind spots regarding both gender representation and perspectives from the Global South. Expanding on that work, this paper examines a significantly extended corpus, with a focus on the role of underrepresented groups in the wider AI discourse. We find that voices from the Global South and consideration of alternative ethical approaches are largely absent from the conversation. In light of the prominence of social, cultural and ethical perspectives from the Global North, this paper explores implications for the development of standards for ethical AI. Concluding by offering approaches to incorporate more diverse ethical viewpoints and beliefs, we call for increased consideration of power structures when developing AI ethics policies and standards within these alternative socio-cultural and socio-economic contexts.","https://link.springer.com/content/pdf/10.1007/s43681-022-00218-9.pdf",""
32,"Ilina Georgieva, Claudio Lazo, Tjerk Timan, Anne Fleur van Veenstra","From AI ethics principles to data science practice: a reflection and a gap analysis based on recent frameworks and practical experience",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-021-00127-3","",461,"2025-02-04 16:55:17","journal-article","10.1007/s43681-021-00127-3","2730-5953","",2,4,697,711,32,10.67,8,4,3,"","https://link.springer.com/content/pdf/10.1007/s43681-021-00127-3.pdf",""
30,"Nicholas Tilmes","Disability, fairness, and algorithmic bias in AI recruitment",2022,"Ethics and Information Technology","Springer Science and Business Media LLC","https://doi.org/10.1007/s10676-022-09633-2","",967,"2025-02-04 16:55:17","journal-article","10.1007/s10676-022-09633-2","1388-1957","",24,2,,,30,10.00,30,1,3,"","https://link.springer.com/content/pdf/10.1007/s10676-022-09633-2.pdf",""
29,"Rifat Ara Shams, Didar Zowghi, Muneera Bano","AI and the quest for diversity and inclusion: a systematic literature review",2023,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-023-00362-w","",266,"2025-02-04 16:55:17","journal-article","10.1007/s43681-023-00362-w","2730-5953","",,,,,29,14.50,10,3,2,"Abstract: The pervasive presence and wide-ranging variety of artificial intelligence (AI) systems underscore the necessity for inclusivity and diversity in their design and implementation, to effectively address critical issues of fairness, trust, bias, and transparency. However, diversity and inclusion (D&I) considerations are significantly neglected in AI systems design, development, and deployment. Ignoring D&I in AI systems can cause digital redlining, discrimination, and algorithmic oppression, leading to AI systems being perceived as untrustworthy and unfair. Therefore, we conducted a systematic literature review (SLR) to identify the challenges and their corresponding solutions (guidelines/ strategies/ approaches/ practices) about D&I in AI and about the applications of AI for D&I practices. Through a rigorous search and selection, 48 relevant academic papers published from 2017 to 2022 were identified. By applying open coding on the extracted data from the selected papers, we identified 55 unique challenges and 33 unique solutions in addressing D&I in AI. We also identified 24 unique challenges and 23 unique solutions for enhancing D&I practices by AI. The result of our analysis and synthesis of the selected studies contributes to a deeper understanding of diversity and inclusion issues and considerations in the design, development and deployment of the AI ecosystem. The findings would play an important role in enhancing awareness and attracting the attention of researchers and practitioners in their quest to embed D&I principles and practices in future AI systems. This study also identifies important gaps in the research literature that will inspire future direction for researchers.","https://link.springer.com/content/pdf/10.1007/s43681-023-00362-w.pdf",""
28,"Jakob Mökander, Luciano Floridi","Operationalising AI governance through ethics-based auditing: an industry case study",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00171-7","",106,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00171-7","2730-5953","",3,2,451,468,28,9.33,14,2,3,"Abstract: Ethics-based auditing (EBA) is a structured process whereby an entity’s past or present behaviour is assessed for consistency with moral principles or norms. Recently, EBA has attracted much attention as a governance mechanism that may help to bridge the gap between principles and practice in AI ethics. However, important aspects of EBA—such as the feasibility and effectiveness of different auditing procedures—have yet to be substantiated by empirical research. In this article, we address this knowledge gap by providing insights from a longitudinal industry case study. Over 12 months, we observed and analysed the internal activities of AstraZeneca, a biopharmaceutical company, as it prepared for and underwent an ethics-based AI audit. While previous literature concerning EBA has focussed on proposing or analysing evaluation metrics or visualisation techniques, our findings suggest that the main difficulties large multinational organisations face when conducting EBA mirror classical governance challenges. These include ensuring harmonised standards across decentralised organisations, demarcating the scope of the audit, driving internal communication and change management, and measuring actual outcomes. The case study presented in this article contributes to the existing literature by providing a detailed description of the organisational context in which EBA procedures must be integrated to be feasible and effective.","https://link.springer.com/content/pdf/10.1007/s43681-022-00171-7.pdf",""
26,"Emanuele Ratti, Mark Graves","Explainable machine learning practices: opening another black box for reliable medical AI",2022,"AI and Ethics","Springer Science and Business Media LLC","https://doi.org/10.1007/s43681-022-00141-z","",334,"2025-02-04 16:55:17","journal-article","10.1007/s43681-022-00141-z","2730-5953","",2,4,801,814,26,8.67,13,2,3,"Abstract: In the past few years, machine learning (ML) tools have been implemented with success in the medical context. However, several practitioners have raised concerns about the lack of transparency—at the algorithmic level—of many of these tools; and solutions from the field of explainable AI (XAI) have been seen as a way to open the ‘black box’ and make the tools more trustworthy. Recently, Alex London has argued that in the medical context we do not need machine learning tools to be interpretable at the algorithmic level to make them trustworthy, as long as they meet some strict empirical desiderata. In this paper, we analyse and develop London’s position. In particular, we make two claims. First, we claim that London’s solution to the problem of trust can potentially address another problem, which is how to evaluate the reliability of ML tools in medicine for regulatory purposes. Second, we claim that to deal with this problem, we need to develop London’s views by shifting the focus from the opacity of algorithmic details to the opacity of the way in which ML tools are trained and built. We claim that to regulate AI tools and evaluate their reliability, agencies need an explanation of how ML tools have been built, which requires documenting and justifying the technical choices that practitioners have made in designing such tools. This is because different algorithmic designs may lead to different outcomes, and to the realization of different purposes. However, given that technical choices underlying algorithmic design are shaped by value-laden considerations, opening the black box of the design process means also making transparent and motivating (technical and ethical) values and preferences behind such choices. Using tools from philosophy of technology and philosophy of science, we elaborate a framework showing how an explanation of the training processes of ML tools in medicine should look like.","https://link.springer.com/content/pdf/10.1007/s43681-022-00141-z.pdf",""
25,"Gijs van Maanen","AI Ethics, Ethics Washing, and the Need to Politicize Data Ethics",2022,"Digital Society","Springer Science and Business Media LLC","https://doi.org/10.1007/s44206-022-00013-3","",648,"2025-02-04 16:55:17","journal-article","10.1007/s44206-022-00013-3","2731-4650","",1,2,,,25,8.33,25,1,3,"Abstract: Many commercial actors in the tech sector publish ethics guidelines as a means to ‘wash away’ concerns raised about their policies. For some academics, this phenomenon is reason to replace ethics with other tools and methods in an attempt to make sure that the tech sector does not cross any moral Rubicons. Others warn against the tendency to reduce a criticism of ‘ethics washing’ into one of ethics simpliciter. In this essay, I argue firstly that the dominant focus on principles, dilemmas, and theory in conventional ethical theories and practices could be an explanation of it lacking resistance to abuse by dominant actors, and hence its rather disappointing capacity to stop, redirect, or at least slow down big tech’s course. Secondly, drawing from research on casuistry and political philosopher Raymond Geuss, this essay will make a case for a question, rather than theory or principle-based ethical data practice. The emphasis of this approach is placed on the acquisition of a thorough understanding of a social-political phenomenon like tech development. This approach should be replenished with one extra component to the picture of the repoliticized data ethics drawn so far: the importance of ‘exemplars,’ or stories. Precisely the fact that one should acquire an in-depth understanding of the problem in practice will also allow one to look in the past, present, or future for similar and comparable stories from which one can learn.","https://link.springer.com/content/pdf/10.1007/s44206-022-00013-3.pdf",""
